"FID"	"IID"	"Sigs160.Bindea_Macrophages"	"Sigs160.Bindea_Mast.cells"	"Sigs160.Bindea_Neutrophils"	"Sigs160.Bindea_NK.CD56bright.cells"	"Sigs160.Bindea_NK.CD56dim.cells"
"TCGA-B9-A8YH"	"TCGA-B9-A8YH"	0.174722522	0.044510386	0.024804108	-0.004998919	-0.061067666
"TCGA-Y8-A8RZ"	"TCGA-Y8-A8RZ"	0.119927606	-0.103666731	0.049480462	0.091993086	-0.066033304
"TCGA-Y8-A8S0"	"TCGA-Y8-A8S0"	0.086229873	-0.032846391	-0.019443455	0.048277798	-0.052586926
"TCGA-B9-A8YI"	"TCGA-B9-A8YI"	0.109616883	-0.102968403	0.061363727	-0.068813862	-0.035263594
"TCGA-GL-A9DC"	"TCGA-GL-A9DC"	0.127168701	0.0661098	0.004285572	0.065446648	-0.048411476
"TCGA-A3-A8OX"	"TCGA-A3-A8OX"	0.176794471	-0.039770632	0.093741723	0.027861278	-0.016323568
"TCGA-6D-AA2E"	"TCGA-6D-AA2E"	0.164958898	-0.007315736	0.059119136	0.066621008	-0.030796949
"TCGA-A3-A8OW"	"TCGA-A3-A8OW"	0.097567066	-0.020490292	0.105808114	0.016433628	-0.059543103
"TCGA-G6-A8L6"	"TCGA-G6-A8L6"	0.119882225	-0.057669145	0.094398214	0.040896802	-0.020270043
"TCGA-T7-A92I"	"TCGA-T7-A92I"	0.111932089	-0.037015451	0.015527532	0.053775988	-0.044553771
"TCGA-3Z-A93Z"	"TCGA-3Z-A93Z"	0.097408971	-0.087730636	0.069794103	0.033600327	-0.019399067
"TCGA-B8-A7U6"	"TCGA-B8-A7U6"	0.129161769	0.010412173	0.095201048	0.048834601	-0.032642837
"TCGA-A3-A8CQ"	"TCGA-A3-A8CQ"	0.110933164	-0.056410604	0.093683895	0.036264002	-0.08114731
"TCGA-G6-A8L7"	"TCGA-G6-A8L7"	0.08630046	-0.072083629	0.011784489	0.072150844	0.018313334
"TCGA-G6-A8L8"	"TCGA-G6-A8L8"	0.08165848	-0.077074305	0.078968458	0.098119702	-0.06193995
"TCGA-A3-A8OV"	"TCGA-A3-A8OV"	0.109200356	-0.088473029	0.101212031	-0.018326994	-0.054247186
"TCGA-MM-A84U"	"TCGA-MM-A84U"	0.143178057	-0.043999687	0.05879268	0.049551993	-0.01279728
"TCGA-Z2-A8RT"	"TCGA-Z2-A8RT"	NA	NA	NA	NA	NA
"TCGA-WE-A8JZ"	"TCGA-WE-A8JZ"	NA	NA	NA	NA	NA
"TCGA-D3-A8GE"	"TCGA-D3-A8GE"	NA	NA	NA	NA	NA
"TCGA-WE-A8ZO"	"TCGA-WE-A8ZO"	NA	NA	NA	NA	NA
"TCGA-WE-A8ZQ"	"TCGA-WE-A8ZQ"	NA	NA	NA	NA	NA
"TCGA-WE-A8K1"	"TCGA-WE-A8K1"	NA	NA	NA	NA	NA
"TCGA-FR-A8YC"	"TCGA-FR-A8YC"	NA	NA	NA	NA	NA
"TCGA-BG-A0VT"	"TCGA-BG-A0VT"	-0.044557432	-0.066373164	-0.165712804	0.002491413	-0.032477075
"TCGA-AA-3994"	"TCGA-AA-3994"	-0.027217597	-0.095666494	-0.193384688	0.032550928	-0.033361807
"TCGA-B5-A11E"	"TCGA-B5-A11E"	-0.061903464	-0.113810431	-0.18241285	-0.015785433	-0.048275487
"TCGA-B5-A11V"	"TCGA-B5-A11V"	-0.052020793	-0.118366202	-0.158884295	0.035192694	0.016039479
"TCGA-D1-A101"	"TCGA-D1-A101"	-0.011338437	-0.09614101	-0.158143836	0.048236187	0.005969955
"TCGA-BG-A0YU"	"TCGA-BG-A0YU"	-0.093669417	-0.133342707	-0.179114999	0.069667809	0.006075965
"TCGA-AA-3966"	"TCGA-AA-3966"	0.03570962	-0.131223703	-0.086477723	0.037631612	0.022546297
"TCGA-AY-4071"	"TCGA-AY-4071"	-0.035521443	-0.114056896	-0.1932679	-0.008802701	-0.035281038
"TCGA-AX-A0IS"	"TCGA-AX-A0IS"	-0.001828298	-0.074857655	-0.154589529	-0.002466347	-0.014378158
"TCGA-D1-A0ZZ"	"TCGA-D1-A0ZZ"	-0.100510754	-0.111153885	-0.227131916	0.025283383	-0.049202058
"TCGA-B5-A11Z"	"TCGA-B5-A11Z"	-0.069263127	-0.054430246	-0.190108773	0.06226697	0.063840422
"TCGA-D1-A0ZP"	"TCGA-D1-A0ZP"	-0.071549837	-0.129356187	-0.17576609	0.010091125	-0.00720119
"TCGA-B5-A11F"	"TCGA-B5-A11F"	-0.054060603	-0.090599155	-0.179240129	0.024452663	-0.012284896
"TCGA-D1-A0ZU"	"TCGA-D1-A0ZU"	-0.050884855	-0.107013722	-0.163164636	0.027042316	-0.009178738
"TCGA-B5-A11I"	"TCGA-B5-A11I"	0.019957463	-0.127408912	-0.179097004	0.003658826	-0.035832473
"TCGA-D1-A0ZV"	"TCGA-D1-A0ZV"	0.008140636	-0.070213798	-0.15052498	0.116788183	-0.009794711
"TCGA-B5-A11X"	"TCGA-B5-A11X"	-0.044824678	-0.089736659	-0.197197938	0.019758642	0.069515405
"TCGA-BG-A0YV"	"TCGA-BG-A0YV"	-0.01801047	-0.159800061	-0.199810257	0.034547436	-0.045407287
"TCGA-AY-4070"	"TCGA-AY-4070"	-0.047328467	-0.128818461	-0.197552891	-0.01484544	-0.039706292
"TCGA-D1-A0ZR"	"TCGA-D1-A0ZR"	-0.087653883	-0.111630708	-0.186569979	0.111541212	0.005833392
"TCGA-D1-A102"	"TCGA-D1-A102"	0.018528182	-0.081833495	-0.170427896	0.019363303	0.005928522
"TCGA-D1-A103"	"TCGA-D1-A103"	-0.027530671	-0.10025862	-0.195478542	0.031209573	-0.067216305
"TCGA-RD-A8N1"	"TCGA-RD-A8N1"	0.105126151	-0.051740926	-0.069751165	0.002462847	-0.078976041
"TCGA-FP-A8CX"	"TCGA-FP-A8CX"	0.082772752	-0.05877819	-0.106304013	0.02199256	-0.106246385
"TCGA-RD-A8N2"	"TCGA-RD-A8N2"	0.081307999	-0.007595728	-0.096396584	-0.095107059	-0.131755943
"TCGA-VQ-A8DV"	"TCGA-VQ-A8DV"	0.016683572	-0.103323444	-0.09973968	-0.091169222	-0.127207688
"TCGA-LL-A8F5"	"TCGA-LL-A8F5"	0.160472396	-0.082963245	-0.027244616	-0.035130418	0.000428628
"TCGA-C8-A8HQ"	"TCGA-C8-A8HQ"	0.165866469	-0.045272731	-0.040445402	0.02682118	-0.020049751
"TCGA-C8-A8HP"	"TCGA-C8-A8HP"	0.165636535	-0.059473903	0.004517379	0.069327297	0.037302918
"TCGA-XX-A89A"	"TCGA-XX-A89A"	0.219230811	-0.033806981	0.033001566	-0.025040102	-0.03143483
"TCGA-C8-A8HR"	"TCGA-C8-A8HR"	0.184831249	-0.03913688	0.011091521	0.050300039	-0.008508141
"TCGA-W8-A86G"	"TCGA-W8-A86G"	0.098315111	-0.012984342	-0.01416885	0.066491344	-0.089578878
"TCGA-BH-A8FY"	"TCGA-BH-A8FY"	0.098761169	-0.075231286	-0.035800413	0.053969157	-0.159364267
"TCGA-C5-A7UI"	"TCGA-C5-A7UI"	0.118728232	-0.115131783	-0.042834888	0.058847603	0.050723684
"TCGA-VS-A8EB"	"TCGA-VS-A8EB"	0.072852105	-0.124881241	-0.051562232	-0.020760218	-0.048140252
"TCGA-VS-A8EH"	"TCGA-VS-A8EH"	0.073079834	-0.088341355	-0.018250946	0.024720634	-0.091994767
"TCGA-C5-A7X5"	"TCGA-C5-A7X5"	0.09755118	-0.141755069	-0.076394525	0.002331719	-0.125142267
"TCGA-MU-A8JM"	"TCGA-MU-A8JM"	0.117689775	-0.044417126	0.025684613	0.015916428	-0.030288873
"TCGA-XS-A8TJ"	"TCGA-XS-A8TJ"	0.11400989	-0.041807498	-0.056155839	0.030053008	-0.032233185
"TCGA-PN-A8MA"	"TCGA-PN-A8MA"	0.098037677	-0.081727561	-0.086566638	0.121024595	-0.021375824
"TCGA-LN-A8I0"	"TCGA-LN-A8I0"	0.047865071	-0.099910707	-0.099396416	-0.037024151	-0.098649958
"TCGA-VR-A8EY"	"TCGA-VR-A8EY"	0.037843729	-0.158425279	-0.104982469	-0.06619211	-0.143116154
"TCGA-LN-A8I1"	"TCGA-LN-A8I1"	0.075313503	-0.116506242	-0.066051297	-0.064510925	-0.08078244
"TCGA-L5-A88Z"	"TCGA-L5-A88Z"	0.059771665	-0.060326484	-0.038114572	-0.065994558	-0.120328358
"TCGA-L5-A8NJ"	"TCGA-L5-A8NJ"	-0.044963171	-0.055374537	-0.15082659	0.062005386	-0.176566076
"TCGA-VR-A8EZ"	"TCGA-VR-A8EZ"	0.065522111	-0.140458595	-0.118698307	-0.019873805	-0.097114807
"TCGA-L5-A893"	"TCGA-L5-A893"	NA	NA	NA	NA	NA
"TCGA-L5-A8NQ"	"TCGA-L5-A8NQ"	0.059138567	-0.04999133	-0.07333486	0.000610818	-0.083882861
"TCGA-VR-A8ER"	"TCGA-VR-A8ER"	0.099205782	-0.17344376	-0.050156838	-0.05509417	-0.116557754
"TCGA-XP-A8T8"	"TCGA-XP-A8T8"	-0.019470189	-0.147893528	-0.08981516	-0.067525667	-0.124036968
"TCGA-L5-A8NU"	"TCGA-L5-A8NU"	0.112595931	0.034477259	-0.055195005	-0.046790922	-0.066734937
"TCGA-IG-A8O2"	"TCGA-IG-A8O2"	-0.000930468	-0.152269435	-0.156240715	-0.057906247	-0.134658706
"TCGA-VR-A8EW"	"TCGA-VR-A8EW"	0.052358926	-0.123429795	-0.088748146	-0.043645197	-0.150267209
