"FID"	"IID"	"Sigs160.Attractors_IFIT3"	"Sigs160.Attractors_LYM"	"Sigs160.Bindea_aDC"	"Sigs160.Bindea_B.cells"	"Sigs160.Bindea_CD8.T.cells"
"TCGA-V3-A9ZY"	"TCGA-V3-A9ZY"	6.267179617	6.56568554	0.003910295	-0.078908196	0.205648866
"TCGA-V4-A9F5"	"TCGA-V4-A9F5"	9.034544194	4.436671634	0.06450238	-0.068816753	0.187758367
"TCGA-V4-A9ED"	"TCGA-V4-A9ED"	8.008951566	7.916435138	0.048496116	-0.056070371	0.200480816
"TCGA-V4-A9EF"	"TCGA-V4-A9EF"	5.687561243	6.344649123	-0.022519351	-0.075887156	0.199932433
"TCGA-V4-A9E7"	"TCGA-V4-A9E7"	5.628136686	4.338208077	-0.088796767	-0.068751471	0.186956681
"TCGA-VD-A8KA"	"TCGA-VD-A8KA"	4.660926589	4.840214968	-0.085249673	-0.073430339	0.201996743
"TCGA-V4-A9F4"	"TCGA-V4-A9F4"	6.58620587	6.689078436	-0.094950321	-0.070680582	0.202453666
"TCGA-V4-A9EX"	"TCGA-V4-A9EX"	9.256280769	6.287925315	0.039144885	-0.074988257	0.191640368
"TCGA-V4-A9EO"	"TCGA-V4-A9EO"	6.211677786	5.217865149	-0.024552715	-0.083901723	0.196796885
"TCGA-WC-A884"	"TCGA-WC-A884"	8.290558812	8.490462202	0.070160409	-0.058385224	0.192060253
"TCGA-VD-AA8T"	"TCGA-VD-AA8T"	6.201898714	5.915645224	-0.091543315	-0.062249314	0.202519499
"TCGA-VD-AA8M"	"TCGA-VD-AA8M"	8.222796653	6.06320917	0.045286434	-0.079978793	0.191797906
"TCGA-VD-A8KI"	"TCGA-VD-A8KI"	6.479042949	6.574863534	-0.008346694	-0.082576999	0.189680299
"TCGA-YZ-A980"	"TCGA-YZ-A980"	8.017634603	7.07192425	-0.047712393	-0.080493395	0.179515551
"TCGA-WC-A883"	"TCGA-WC-A883"	6.252809046	6.396039804	-0.136547915	-0.091171812	0.194533671
"TCGA-WC-A87U"	"TCGA-WC-A87U"	7.083288632	5.796205003	-0.057536758	-0.070958201	0.208662113
