"FID"	"IID"	"Sigs160.Wolf_CD8.CD68.ratio"	"Sigs160.Wolf_CD8.PCA.16704732"	"Sigs160.Wolf_CD8A"	"Sigs160.Wolf_CHANG.CORE.SERUM.RESPONSE.UP"	"Sigs160.Wolf_Chemokine12.score"
"TCGA-IN-AB1V"	"TCGA-IN-AB1V"	-0.1946	-0.4791	-0.098	-0.239	-0.9315
"TCGA-VQ-A91X"	"TCGA-VQ-A91X"	-0.9725	-1.3936	-1.489	0.188	-2.0072
"TCGA-VQ-A91K"	"TCGA-VQ-A91K"	-1.0218	0.0337	0.392	-0.037	0.6351
"TCGA-VQ-A8PU"	"TCGA-VQ-A8PU"	-0.9209	-1.1188	-1.939	0.1445	-2.3422
"TCGA-VQ-A8PK"	"TCGA-VQ-A8PK"	-1.1944	0.1648	-0.794	0.1605	3e-04
"TCGA-VQ-AA6F"	"TCGA-VQ-AA6F"	-0.0748	0.3944	0.755	0.064	1.0537
"TCGA-VQ-A94U"	"TCGA-VQ-A94U"	-0.2856	-0.7979	-0.945	0.076	-0.4638
"TCGA-VQ-A927"	"TCGA-VQ-A927"	-0.3592	-0.1806	-0.265	-0.0655	-0.0122
"TCGA-VQ-AA6I"	"TCGA-VQ-AA6I"	0.3609	0.0425	0.494	0.2625	0.0824
"TCGA-VQ-A8E7"	"TCGA-VQ-A8E7"	-0.996	-0.8844	-1.337	0.092	-0.6885
"TCGA-VQ-A8PD"	"TCGA-VQ-A8PD"	0.1572	0.9832	1.541	-0.0815	1.2479
"TCGA-VQ-A8PY"	"TCGA-VQ-A8PY"	NA	NA	NA	NA	NA
"TCGA-VQ-A8PO"	"TCGA-VQ-A8PO"	0.3296	0.9332	1.707	0.305	1.1785
"TCGA-VQ-A91Z"	"TCGA-VQ-A91Z"	-1.1708	-1.1571	-2.105	0.0715	-1.9122
"TCGA-VQ-A91Q"	"TCGA-VQ-A91Q"	-0.3388	-0.8953	-1.671	-0.077	-0.5671
"TCGA-VQ-AA68"	"TCGA-VQ-AA68"	0.4613	0.2278	1.07	0.105	0.3483
"TCGA-VQ-AA6K"	"TCGA-VQ-AA6K"	-0.006	0.2876	1.125	0.069	0.3751
"TCGA-VQ-AA69"	"TCGA-VQ-AA69"	0.9575	0.0356	0.48	0.0955	-0.0256
"TCGA-VQ-A94O"	"TCGA-VQ-A94O"	-0.7077	0.0664	-0.216	0.1625	-0.2883
"TCGA-VQ-A91S"	"TCGA-VQ-A91S"	0.6065	0.6731	1.599	0.07	0.3097
"TCGA-VQ-A8PZ"	"TCGA-VQ-A8PZ"	NA	NA	NA	NA	NA
"TCGA-4Z-AA87"	"TCGA-4Z-AA87"	0.3729	0.3073	0.417	0.3375	0.4678
"TCGA-XF-A9SI"	"TCGA-XF-A9SI"	0.8537	2.1931	2.794	0.1185	2.5304
"TCGA-XF-A9T0"	"TCGA-XF-A9T0"	0.273	0.122	-0.071	0.1705	0.3651
"TCGA-ZF-AA52"	"TCGA-ZF-AA52"	0.0275	0.2846	-0.183	0.144	0.5537
"TCGA-4Z-AA7N"	"TCGA-4Z-AA7N"	0.7648	1.156	1.564	-0.1775	1.7441
"TCGA-4Z-AA80"	"TCGA-4Z-AA80"	2.6529	-0.6672	-0.452	0.2635	-0.9381
"TCGA-4Z-AA89"	"TCGA-4Z-AA89"	-0.6843	-1.104	-0.703	0.0175	-1.924
"TCGA-DK-AA6U"	"TCGA-DK-AA6U"	1.5716	-0.9436	-1.342	0.2405	-1.0664
"TCGA-G2-AA3B"	"TCGA-G2-AA3B"	1.1084	-0.1519	-0.039	0.256	-0.2186
"TCGA-4W-AA9R"	"TCGA-4W-AA9R"	NA	NA	NA	NA	NA
"TCGA-26-A7UX"	"TCGA-26-A7UX"	NA	NA	NA	NA	NA
"TCGA-4W-AA9T"	"TCGA-4W-AA9T"	NA	NA	NA	NA	NA
"TCGA-4W-AA9S"	"TCGA-4W-AA9S"	NA	NA	NA	NA	NA
"TCGA-06-A7TK"	"TCGA-06-A7TK"	NA	NA	NA	NA	NA
"TCGA-06-A7TL"	"TCGA-06-A7TL"	NA	NA	NA	NA	NA
"TCGA-QK-AA3J"	"TCGA-QK-AA3J"	0.1109	0.3334	-0.313	0.1185	0.3414
"TCGA-QK-A8ZB"	"TCGA-QK-A8ZB"	-1.0599	-0.2939	-0.934	0.0625	0.3117
"TCGA-4P-AA8J"	"TCGA-4P-AA8J"	-0.1411	0.8698	0.203	0.237	1.5127
"TCGA-QK-A8Z8"	"TCGA-QK-A8Z8"	0.1292	0.2323	-0.801	0.124	-0.4964
"TCGA-T3-A92N"	"TCGA-T3-A92N"	0.0028	0.2844	0.212	0.386	0.9611
"TCGA-QK-A8Z9"	"TCGA-QK-A8Z9"	0.1418	0.5402	0.596	0.038	0.4893
"TCGA-QK-A8ZA"	"TCGA-QK-A8ZA"	-1.053	-0.5918	-1.194	0.2445	-0.7677
"TCGA-QK-A8Z7"	"TCGA-QK-A8Z7"	0.2506	-0.8769	-1.151	0.3715	-0.5813
"TCGA-QK-AA3K"	"TCGA-QK-AA3K"	0.6221	0.9312	1.726	0.2865	1.0255
"TCGA-BA-A8YP"	"TCGA-BA-A8YP"	-1.4363	-0.7261	-1.863	0.3265	0.1816
"TCGA-B8-A8YJ"	"TCGA-B8-A8YJ"	-0.1412	1.0311	0.878	-0.3735	0.8831
"TCGA-WX-AA46"	"TCGA-WX-AA46"	-0.4857	-0.4196	-0.952	-0.2355	-0.5737
"TCGA-2Y-A9H9"	"TCGA-2Y-A9H9"	0.2554	-0.3684	-0.233	-0.1435	-0.3382
"TCGA-5C-AAPD"	"TCGA-5C-AAPD"	0.0037	1.0198	1.267	0.1335	1.9322
"TCGA-WX-AA47"	"TCGA-WX-AA47"	-2.2457	-1.4607	-2.42	-0.141	-2.539
"TCGA-DD-AADP"	"TCGA-DD-AADP"	-0.0861	-0.2043	-0.954	-0.2095	-0.1937
"TCGA-2Y-A9H7"	"TCGA-2Y-A9H7"	0.1734	-0.4456	-1.131	-0.121	-1.5622
"TCGA-DD-AADW"	"TCGA-DD-AADW"	0.0719	-0.962	-1.033	-0.042	-0.7094
"TCGA-WJ-A86L"	"TCGA-WJ-A86L"	-1.3553	-0.5222	-2.511	-0.3405	-0.8812
"TCGA-DD-AADV"	"TCGA-DD-AADV"	-0.0722	-0.2652	-0.587	0.0055	-0.3865
"TCGA-2Y-A9H8"	"TCGA-2Y-A9H8"	-0.485	0.4905	1.226	-0.07	0.3817
"TCGA-XR-A8TD"	"TCGA-XR-A8TD"	0.3376	1.5705	2.326	0.086	1.6707
"TCGA-3K-AAZ8"	"TCGA-3K-AAZ8"	-0.1598	0.0181	-0.096	-0.174	0.0292
"TCGA-WX-AA44"	"TCGA-WX-AA44"	0.1006	-0.3677	-0.943	-0.1655	0.1268
"TCGA-2Y-A9GZ"	"TCGA-2Y-A9GZ"	-0.6	-0.9009	-1.878	-0.329	-1.2128
"TCGA-DD-AAEG"	"TCGA-DD-AAEG"	-0.5302	-1.0673	-1.822	-0.188	-0.5964
"TCGA-2Y-A9HA"	"TCGA-2Y-A9HA"	-1.8903	-0.5745	-2.821	-0.0475	-1.0779
"TCGA-KK-A8I7"	"TCGA-KK-A8I7"	NA	NA	NA	NA	NA
"TCGA-XQ-A8TB"	"TCGA-XQ-A8TB"	1.1921	-0.5426	-0.292	-0.155	-0.0574
"TCGA-KK-A8I9"	"TCGA-KK-A8I9"	1.0725	0.2158	0.328	-0.0075	0.2273
"TCGA-EJ-A8FO"	"TCGA-EJ-A8FO"	NA	NA	NA	NA	NA
"TCGA-V1-A8MG"	"TCGA-V1-A8MG"	1.9746	0.2124	0.596	-0.128	-0.2852
"TCGA-3X-AAV9"	"TCGA-3X-AAV9"	0.709	1.3772	2.008	-0.0735	1.3001
"TCGA-4G-AAZO"	"TCGA-4G-AAZO"	-0.2042	0.0392	-0.2	-0.2645	-1.2656
"TCGA-ZH-A8Y1"	"TCGA-ZH-A8Y1"	-0.9751	-1.0618	-1.872	-0.15	-0.4361
"TCGA-W5-AA36"	"TCGA-W5-AA36"	-0.4135	-0.7138	-0.764	-0.012	-0.9978
"TCGA-W5-AA2W"	"TCGA-W5-AA2W"	0.1572	-0.003	0.728	-0.1185	-0.777
"TCGA-3X-AAVA"	"TCGA-3X-AAVA"	0.1971	-0.1719	0.328	-0.0845	0.1765
"TCGA-W5-AA2I"	"TCGA-W5-AA2I"	1.0349	-0.0995	-0.989	0.0045	-1.4188
