"FID"	"IID"	"Sigs160.Bindea_NK.cells"	"Sigs160.Bindea_pDC"	"Sigs160.Bindea_T.cells"	"Sigs160.Bindea_T.helper.cells"	"Sigs160.Bindea_Tcm.cells"
"TCGA-QD-A8IV"	"TCGA-QD-A8IV"	0.149860467	-0.016136238	-0.029596295	0.258580973	0.193493093
"TCGA-DE-A69K"	"TCGA-DE-A69K"	0.156666581	-0.012028832	-0.065961889	0.262152225	0.18439986
"TCGA-DE-A69J"	"TCGA-DE-A69J"	0.171434279	-0.059997467	-0.088046866	0.258486517	0.181504878
"TCGA-DE-A7U5"	"TCGA-DE-A7U5"	0.168381386	-0.037749017	-0.041458011	0.26262406	0.19556644
"TCGA-FY-A76V"	"TCGA-FY-A76V"	0.17835505	0.029925387	-0.078823964	0.262779738	0.208134757
"TCGA-MK-A84Z"	"TCGA-MK-A84Z"	0.149634259	0.001809215	-0.069770272	0.248367848	0.184645561
"TCGA-33-AASD"	"TCGA-33-AASD"	0.106614989	-0.112855871	-0.109694628	0.246881706	0.199636448
"TCGA-33-AASL"	"TCGA-33-AASL"	0.106597494	-0.087477969	-0.029402856	0.236280173	0.125730904
"TCGA-NK-A7XE"	"TCGA-NK-A7XE"	0.110718126	-0.10248956	-0.082276321	0.230352816	0.136438494
"TCGA-XC-AA0X"	"TCGA-XC-AA0X"	0.119341433	-0.061366602	-0.006486408	0.23775307	0.202548032
"TCGA-33-AASI"	"TCGA-33-AASI"	0.095510234	-0.064691645	0.00538537	0.251647746	0.173898162
"TCGA-33-AASJ"	"TCGA-33-AASJ"	0.088312053	-0.165518684	-0.071070658	0.253534076	0.165211408
"TCGA-6A-AB49"	"TCGA-6A-AB49"	0.105865291	-0.178965549	-0.139829684	0.225752858	0.157440665
"TCGA-33-AAS8"	"TCGA-33-AAS8"	0.129620588	-0.10356531	-0.097710323	0.240184852	0.14187709
"TCGA-LA-A7SW"	"TCGA-LA-A7SW"	0.13647836	-0.095839474	-0.12616393	0.23348689	0.188935994
"TCGA-33-AASB"	"TCGA-33-AASB"	0.090531348	-0.124640214	-0.140783726	0.253624054	0.150321183
"TCGA-56-A62T"	"TCGA-56-A62T"	0.122810715	-0.126547224	-0.087986494	0.244778588	0.212709783
"TCGA-GN-A9SD"	"TCGA-GN-A9SD"	NA	NA	NA	NA	NA
"TCGA-W3-AA1V"	"TCGA-W3-AA1V"	NA	NA	NA	NA	NA
"TCGA-BF-AAP4"	"TCGA-BF-AAP4"	0.121903234	-0.014131433	0.032650094	0.217210267	0.183200673
"TCGA-XV-AAZW"	"TCGA-XV-AAZW"	0.104334408	-0.056476833	-0.165274132	0.204514183	0.152933848
"TCGA-XV-AB01"	"TCGA-XV-AB01"	NA	NA	NA	NA	NA
"TCGA-BF-AAP7"	"TCGA-BF-AAP7"	0.157195549	0.085522062	0.061004028	0.198263455	0.146539373
"TCGA-BF-AAP2"	"TCGA-BF-AAP2"	0.105621502	-0.090265138	-0.027246176	0.213630494	0.144901127
"TCGA-XV-AAZV"	"TCGA-XV-AAZV"	0.111988006	0.049728952	0.018351494	0.218954622	0.160726409
"TCGA-BF-AAP8"	"TCGA-BF-AAP8"	0.151375762	-0.042589889	-0.080855728	0.209148064	0.155953717
