"FID"	"IID"	"Sigs160.Bindea_Cytotoxic.cells"	"Sigs160.Bindea_DC"	"Sigs160.Bindea_Eosinophils"	"Sigs160.Bindea_iDC"	"Sigs160.Bindea_Lymph.vessels"
"TCGA-24-2298"	"TCGA-24-2298"	-0.113326745	-0.068205561	-0.004978867	-0.013454432	-0.049308738
"TCGA-25-2398"	"TCGA-25-2398"	NA	NA	NA	NA	NA
"TCGA-29-2425"	"TCGA-29-2425"	-0.144411533	-0.07370467	-0.020015482	-0.025280628	-0.148497855
"TCGA-59-2354"	"TCGA-59-2354"	NA	NA	NA	NA	NA
"TCGA-09-2050"	"TCGA-09-2050"	NA	NA	NA	NA	NA
"TCGA-24-2281"	"TCGA-24-2281"	-0.088953163	0.00816232	0.002400109	-0.012426693	-0.196164958
"TCGA-25-2042"	"TCGA-25-2042"	NA	NA	NA	NA	NA
"TCGA-25-2399"	"TCGA-25-2399"	-0.037734183	-0.084163156	0.002799906	-0.017872951	-0.083549155
"TCGA-29-2427"	"TCGA-29-2427"	0.043712217	-0.040479835	-0.021698816	-0.008095158	-0.151544833
"TCGA-59-2355"	"TCGA-59-2355"	-0.12861061	-0.061914025	0.02322184	-0.019233117	-0.14262147
"TCGA-09-2051"	"TCGA-09-2051"	-0.041029885	-0.089462205	-0.010670454	-0.028454037	-0.181628919
"TCGA-24-2288"	"TCGA-24-2288"	-0.058804522	-0.049665667	-0.009493206	-0.020551331	-0.112694742
"TCGA-25-1329"	"TCGA-25-1329"	-0.127906882	-0.098940977	-0.012324714	0.027648134	-0.119628832
"TCGA-25-2400"	"TCGA-25-2400"	-0.127976588	-0.125597528	0.017136079	-0.038758557	-0.197684657
"TCGA-29-2428"	"TCGA-29-2428"	-0.033780714	0.020178426	0.004484181	0.01441668	-0.178696124
"TCGA-59-2363"	"TCGA-59-2363"	-0.157420845	-0.102448167	0.00646504	-0.051423229	-0.093098269
"TCGA-09-2055"	"TCGA-09-2055"	NA	NA	NA	NA	NA
"TCGA-24-2289"	"TCGA-24-2289"	NA	NA	NA	NA	NA
"TCGA-25-2391"	"TCGA-25-2391"	-0.098295422	-0.062403498	0.006695218	-0.016117484	-0.18176408
"TCGA-25-2401"	"TCGA-25-2401"	NA	NA	NA	NA	NA
"TCGA-59-2348"	"TCGA-59-2348"	-0.14355498	-0.096828008	-0.002872305	-0.013085416	-0.182452014
"TCGA-09-2043"	"TCGA-09-2043"	NA	NA	NA	NA	NA
"TCGA-13-2060"	"TCGA-13-2060"	-0.092504648	-0.073364089	-0.023918218	-0.029877803	-0.096235116
"TCGA-24-2290"	"TCGA-24-2290"	-0.11499072	-0.017642928	0.001366535	0.01012552	-0.191832816
"TCGA-25-2392"	"TCGA-25-2392"	-0.138454684	-0.072018172	-0.006697672	0.018736441	-0.161132406
"TCGA-59-2349"	"TCGA-59-2349"	NA	NA	NA	NA	NA
"TCGA-VD-AA8N"	"TCGA-VD-AA8N"	0.025837566	-0.013451798	0.032930061	0.105020497	-0.098427605
"TCGA-V4-A9E5"	"TCGA-V4-A9E5"	-0.070585846	-0.070462455	0.022568889	0.051997285	-0.08709435
"TCGA-WC-A87T"	"TCGA-WC-A87T"	-0.087415212	-0.124210903	0.05954215	0.010419651	-0.097625289
"TCGA-V4-A9EH"	"TCGA-V4-A9EH"	0.015851634	-0.07789053	0.048998284	0.064784889	-0.053298303
"TCGA-V4-A9EL"	"TCGA-V4-A9EL"	0.054960374	-0.04004987	0.047659335	0.083994213	-0.071440316
"TCGA-V4-A9EQ"	"TCGA-V4-A9EQ"	-0.031408615	-0.022802116	0.037940535	0.079324334	-0.035911244
"TCGA-V4-A9EV"	"TCGA-V4-A9EV"	0.136406491	0.019084417	0.047134965	0.086703118	-0.114142767
"TCGA-V4-A9EY"	"TCGA-V4-A9EY"	-0.012530534	-0.014273563	0.032069135	0.094389372	-0.03118273
"TCGA-V3-A9ZY"	"TCGA-V3-A9ZY"	-0.038462101	-0.077252851	0.031634404	0.068135607	-0.074548422
"TCGA-V4-A9F5"	"TCGA-V4-A9F5"	-0.057745148	-0.087690833	0.050727489	0.037044976	-0.067768235
"TCGA-V4-A9ED"	"TCGA-V4-A9ED"	0.020807403	0.00968853	0.06442731	0.08930337	-0.04239021
"TCGA-V4-A9EF"	"TCGA-V4-A9EF"	-0.042024002	-0.045150143	0.046530223	0.036936776	-0.077769251
"TCGA-V4-A9E7"	"TCGA-V4-A9E7"	-0.04987455	-0.085983171	0.032047389	0.032219131	-0.061729923
"TCGA-VD-A8KA"	"TCGA-VD-A8KA"	-0.091126748	-0.086429463	0.066726116	0.031224782	-0.072810367
"TCGA-V4-A9F4"	"TCGA-V4-A9F4"	-0.064382414	-0.080717238	0.072778164	0.052331961	-0.11281601
"TCGA-V4-A9EX"	"TCGA-V4-A9EX"	-0.065792911	-0.08800596	0.057763587	0.033165136	-0.132108118
"TCGA-V4-A9EO"	"TCGA-V4-A9EO"	-0.074995604	-0.059757054	0.074552825	0.032661314	-0.074337144
