"FID"	"IID"	"Sigs160.Wolf_Module4.TcellBcell.score"	"Sigs160.Wolf_Module5.TcellBcell.score"	"Sigs160.Wolf_NHI.5gene.score"	"Sigs160.Wolf_PD1.data"	"Sigs160.Wolf_PD1.PDL1.score"
"TCGA-V4-A9F2"	"TCGA-V4-A9F2"	-1.0544	-1.0605	-1.4835	-0.88	-0.902
"TCGA-VD-AA8S"	"TCGA-VD-AA8S"	-2.0141	-2.2369	-2.952	-2.212	-1.5505
"TCGA-V4-A9E8"	"TCGA-V4-A9E8"	-0.6183	-0.4246	-1.032	0.952	0.133
"TCGA-VD-A8K8"	"TCGA-VD-A8K8"	-0.2397	-0.1411	1.039	1.793	1.197
"TCGA-VD-A8KO"	"TCGA-VD-A8KO"	-2.5478	-2.656	-2.33	-3.196	-1.957
"TCGA-VD-A8KH"	"TCGA-VD-A8KH"	-2.3741	-2.3836	-2.636	-0.269	-0.77
"TCGA-VD-A8K9"	"TCGA-VD-A8K9"	-2.5622	-2.3506	-1.684	-2.876	-1.606
"TCGA-VD-AA8R"	"TCGA-VD-AA8R"	-2.6335	-2.7631	-2.7895	-3.196	-1.1835
"TCGA-V4-A9F3"	"TCGA-V4-A9F3"	0.4849	0.4795	0.987	2.042	1.4965
"TCGA-V4-A9EW"	"TCGA-V4-A9EW"	-2.3164	-2.4013	-2.269	-2.821	-1.591
"TCGA-VD-A8KB"	"TCGA-VD-A8KB"	-2.7886	-2.9761	-3.0485	-2.436	-1.2535
