"FID"	"IID"	"Sigs160.Wolf_TGFB.PCA.17349583"	"Sigs160.Wolf_TGFB.score.21050467"	"Sigs160.Wolf_TREM1.data"	"Sigs160.Wolf_Troester.WoundSig.19887484"	"Core56.Adaptive.Receptor_BCR.Richness.Log10"
"TCGA-FB-A78T"	"TCGA-FB-A78T"	0.5997	0.3688	2.586	0.7026	NA
"TCGA-IB-A5SO"	"TCGA-IB-A5SO"	1.6834	0.8982	1.108	1.1346	1.785329835
"TCGA-IB-A5SQ"	"TCGA-IB-A5SQ"	1.7222	0.8882	2.392	1.1233	1.278753601
"TCGA-IB-A5SS"	"TCGA-IB-A5SS"	2.0284	1.1219	3.612	0.9163	NA
"TCGA-IB-A5ST"	"TCGA-IB-A5ST"	1.696	0.7711	2.131	1.1851	2.26245109
"TCGA-OE-A75W"	"TCGA-OE-A75W"	1.1496	0.512	1.398	0.862	0.301029996
"TCGA-PZ-A5RE"	"TCGA-PZ-A5RE"	1.4661	0.7807	2.485	0.979	1.041392685
"TCGA-Q3-A5QY"	"TCGA-Q3-A5QY"	1.5567	0.543	1.994	1.0341	1.832508913
"TCGA-US-A774"	"TCGA-US-A774"	1.4315	0.8746	1.798	1.1444	1.982271233
"TCGA-US-A779"	"TCGA-US-A779"	-0.2009	0.0861	0.399	0.3859	NA
"TCGA-US-A77E"	"TCGA-US-A77E"	1.3851	0.7286	1.685	0.8211	NA
"TCGA-US-A77G"	"TCGA-US-A77G"	-0.3514	0.0248	-0.49	0.3805	NA
"TCGA-EJ-7218"	"TCGA-EJ-7218"	-0.8109	-0.5553	-2.048	-0.0171	NA
"TCGA-EJ-7318"	"TCGA-EJ-7318"	-0.6707	-0.3984	-1.402	0.3148	NA
"TCGA-EJ-7325"	"TCGA-EJ-7325"	NA	NA	NA	NA	NA
"TCGA-EJ-A6RC"	"TCGA-EJ-A6RC"	0.2373	0.0258	-1.203	0.6992	1.278753601
"TCGA-KK-A7AU"	"TCGA-KK-A7AU"	-2.0486	-1.0682	-2.758	-0.4567	NA
"TCGA-KK-A7AV"	"TCGA-KK-A7AV"	-0.216	-0.1901	-1.897	0.5942	1.230448921
"TCGA-KK-A7AW"	"TCGA-KK-A7AW"	NA	NA	NA	NA	NA
"TCGA-KK-A7AZ"	"TCGA-KK-A7AZ"	NA	NA	NA	NA	NA
"TCGA-KK-A7B0"	"TCGA-KK-A7B0"	NA	NA	NA	NA	1.361727836
"TCGA-KK-A7B1"	"TCGA-KK-A7B1"	0.2127	-0.0066	-1.304	0.6407	NA
"TCGA-KK-A7B2"	"TCGA-KK-A7B2"	NA	NA	NA	NA	NA
"TCGA-KK-A7B4"	"TCGA-KK-A7B4"	-0.4144	-0.3386	-2.331	0.015	1.672097858
