"FID"	"IID"	"Sigs160.Wolf_MHC1.21978456"	"Sigs160.Wolf_MHC2.21978456"	"Sigs160.Wolf_Minterferon.Cluster.21214954"	"Sigs160.Wolf_Module11.Prolif.score"	"Sigs160.Wolf_Module3.IFN.score"
"TCGA-BF-AAP4"	"TCGA-BF-AAP4"	0.9017	0.7188	0.4002	0.4269	-0.2104
"TCGA-XV-AAZW"	"TCGA-XV-AAZW"	-0.5359	-1.4092	-0.5624	0.4167	-0.787
"TCGA-XV-AB01"	"TCGA-XV-AB01"	NA	NA	NA	NA	NA
"TCGA-BF-AAP7"	"TCGA-BF-AAP7"	1.5403	1.366	0.9858	-0.144	1.0942
"TCGA-BF-AAP2"	"TCGA-BF-AAP2"	0.902	-0.073	0.2433	0.3542	0.6846
"TCGA-XV-AAZV"	"TCGA-XV-AAZV"	1.2326	1.2135	0.4942	-0.14	0.5166
"TCGA-BF-AAP8"	"TCGA-BF-AAP8"	0.494	-0.7225	-0.3292	-0.6986	-0.5726
"TCGA-YD-A9TB"	"TCGA-YD-A9TB"	NA	NA	NA	NA	NA
"TCGA-BF-AAP6"	"TCGA-BF-AAP6"	-1.139	-0.8116	-0.6869	0.6677	-0.5791
"TCGA-XV-AAZY"	"TCGA-XV-AAZY"	0.9776	0.1069	0.0921	-0.3294	0.4411
"TCGA-VD-A8KG"	"TCGA-VD-A8KG"	-0.0507	-1.0171	-0.7235	-1.8623	-0.4453
"TCGA-VD-A8KN"	"TCGA-VD-A8KN"	0.5966	0.4288	-0.1856	-1.0446	-0.5385
"TCGA-V4-A9F2"	"TCGA-V4-A9F2"	-0.3006	-0.0114	-0.3923	-2.2281	0.063
"TCGA-VD-AA8S"	"TCGA-VD-AA8S"	-0.888	-0.9037	-1.6799	-1.5808	-2.3884
"TCGA-V4-A9E8"	"TCGA-V4-A9E8"	0.8999	0.848	-0.2776	-1.8858	-0.2511
"TCGA-VD-A8K8"	"TCGA-VD-A8K8"	1.4561	0.9333	0.2726	-0.8612	-0.2137
"TCGA-VD-A8KO"	"TCGA-VD-A8KO"	-0.6837	-2.0315	-1.5801	-0.7412	-1.8866
"TCGA-VD-A8KH"	"TCGA-VD-A8KH"	-0.3554	-1.7745	-1.3956	-1.0203	-1.7087
"TCGA-VD-A8K9"	"TCGA-VD-A8K9"	0.1237	-2.0308	-0.4416	-0.9317	0.1238
