"FID"	"IID"	"Sigs160.Wolf_CSF1.response"	"Sigs160.Wolf_CSR.Activated.15701700"	"Sigs160.Wolf_CTLA4.data"	"Sigs160.Wolf_DAP12.data"	"Sigs160.Wolf_GP11.Immune.IFN"
"TCGA-BF-AAP2"	"TCGA-BF-AAP2"	-0.0584	0.0174	0.517	0.045	0.1956
"TCGA-XV-AAZV"	"TCGA-XV-AAZV"	0.8741	0.0433	1.747	1.604	0.2306
"TCGA-BF-AAP8"	"TCGA-BF-AAP8"	-0.3621	-0.082	-0.027	0.736	-0.2609
"TCGA-YD-A9TB"	"TCGA-YD-A9TB"	NA	NA	NA	NA	NA
"TCGA-BF-AAP6"	"TCGA-BF-AAP6"	-0.6238	0.103	0.107	-1.052	-0.0969
"TCGA-XV-AAZY"	"TCGA-XV-AAZY"	-0.065	0.1122	0.419	1.118	0.4666
"TCGA-VD-A8KG"	"TCGA-VD-A8KG"	-0.9187	-0.1981	-2.592	0.191	-0.0484
"TCGA-VD-A8KN"	"TCGA-VD-A8KN"	-0.0078	-0.1965	-1.374	0.841	-0.0334
"TCGA-V4-A9F2"	"TCGA-V4-A9F2"	-0.6056	-0.2505	-2.53	1.008	0.1326
"TCGA-VD-AA8S"	"TCGA-VD-AA8S"	-1.2824	-0.1804	-3.179	-0.08	-0.7954
"TCGA-V4-A9E8"	"TCGA-V4-A9E8"	-0.3046	-0.155	-1.579	1.465	0.0441
"TCGA-VD-A8K8"	"TCGA-VD-A8K8"	-0.128	-0.1656	-0.893	0.419	0.0946
"TCGA-VD-A8KO"	"TCGA-VD-A8KO"	-1.6123	-0.0459	-3.179	-1.725	-0.8709
"TCGA-VD-A8KH"	"TCGA-VD-A8KH"	-1.2801	-0.0792	-3.179	-1.267	-0.3874
"TCGA-VD-A8K9"	"TCGA-VD-A8K9"	-1.5907	-0.0668	-3.179	-1.659	-0.0209
"TCGA-VD-AA8R"	"TCGA-VD-AA8R"	-1.6616	-0.2422	-2.82	-1.309	-0.6139
"TCGA-V4-A9F3"	"TCGA-V4-A9F3"	0.1598	-0.1781	-0.407	0.391	0.0846
"TCGA-V4-A9EW"	"TCGA-V4-A9EW"	-1.2802	-0.0718	-2.805	-1.207	-0.3469
"TCGA-VD-A8KB"	"TCGA-VD-A8KB"	-2.0607	-0.0729	-3.179	-1.438	-1.1359
"TCGA-V4-A9EM"	"TCGA-V4-A9EM"	-1.0469	-0.184	-2.723	-0.435	-0.6264
"TCGA-VD-A8KJ"	"TCGA-VD-A8KJ"	-1.376	0.0105	-3.179	-1.02	-0.8264
