"FID"	"IID"	"Sigs160.Attractors_G.GIMAP4"	"Sigs160.Attractors_G.HLA.DPA1"	"Sigs160.Attractors_G.LILRB4"	"Sigs160.Attractors_G.SIGLEC9"	"Sigs160.Attractors_G.SLAMF6"
"TCGA-CS-5396"	"TCGA-CS-5396"	7.53715626	10.29046415	6.150235871	5.673678621	3.162434796
"TCGA-DB-5273"	"TCGA-DB-5273"	8.576209974	11.83232924	7.261455819	6.569812743	1.952321727
"TCGA-E1-5304"	"TCGA-E1-5304"	6.285036014	8.998847699	4.985378321	3.379643528	1.234082195
"TCGA-DB-5274"	"TCGA-DB-5274"	8.37018545	11.13821819	6.950256433	5.608793806	3.401799883
"TCGA-DB-5276"	"TCGA-DB-5276"	8.184170219	11.89642469	7.571689615	6.028302923	3.287634001
"TCGA-DB-5277"	"TCGA-DB-5277"	7.677960997	10.16362529	6.323633791	5.273372038	3.405390032
"TCGA-CS-5395"	"TCGA-CS-5395"	7.810311478	9.83607292	5.386065853	4.37374697	1.703005036
"TCGA-DB-5278"	"TCGA-DB-5278"	7.745528223	8.74248827	6.106834564	5.386907232	2.285476025
"TCGA-CS-4943"	"TCGA-CS-4943"	7.882935355	10.44660487	6.824079217	5.791174476	2.600979195
"TCGA-CS-4944"	"TCGA-CS-4944"	8.433103623	11.5854384	6.437450989	5.641731813	2.94898783
"TCGA-E1-5311"	"TCGA-E1-5311"	7.471551315	6.811718468	4.867045936	4.098892384	0.892626271
"TCGA-CS-5390"	"TCGA-CS-5390"	7.941772986	8.451296878	5.265261165	4.944135847	2.264152874
"TCGA-E1-5318"	"TCGA-E1-5318"	8.779188604	9.615064007	5.463974135	5.803678878	1.590163837
"TCGA-CS-5393"	"TCGA-CS-5393"	9.02248803	10.62293751	7.305162381	5.281844835	1.401783662
"TCGA-DH-5143"	"TCGA-DH-5143"	7.939496893	10.85640989	7.087664394	5.852966575	1.95046143
"TCGA-CS-4941"	"TCGA-CS-4941"	8.552706706	12.30309065	8.394153467	7.003295876	4.884357093
"TCGA-DB-5279"	"TCGA-DB-5279"	8.237996535	9.311158552	5.804473661	4.211942183	3.292978083
"TCGA-E1-5302"	"TCGA-E1-5302"	8.278237379	11.68696018	7.32524097	6.65342979	2.441952397
"TCGA-CS-4942"	"TCGA-CS-4942"	8.444846332	12.16515993	7.714320935	7.550005978	3.517450045
"TCGA-DB-5280"	"TCGA-DB-5280"	8.051892219	9.350116163	6.498594787	5.838357881	1.772746173
"TCGA-DH-5142"	"TCGA-DH-5142"	8.570746437	13.47107701	8.105119306	7.001352024	3.913437413
"TCGA-DH-5144"	"TCGA-DH-5144"	7.763420196	9.714059095	5.755731836	4.793661072	2.606753601
"TCGA-DB-5270"	"TCGA-DB-5270"	7.863030598	11.96231451	6.889840193	5.810851061	3.061664844
"TCGA-DH-5140"	"TCGA-DH-5140"	7.753840537	10.79281666	6.403214292	5.122399369	2.867598936
"TCGA-DH-5141"	"TCGA-DH-5141"	8.347782389	10.72224007	5.911237182	5.164016447	2.682739482
"TCGA-CS-5394"	"TCGA-CS-5394"	7.946272468	9.263308403	4.289036723	3.758127534	1.382992475
"TCGA-E1-5303"	"TCGA-E1-5303"	8.791089707	11.36542715	7.954335879	7.213343	1.533222811
"TCGA-A7-A0CH"	"TCGA-A7-A0CH"	7.337052721	10.97460375	5.982106498	5.304257542	4.349508755
